17,13,12,12,9,17,13,12,9,14,14,16,6,10,15,13,11,12,15,12
10,10,12,14,13,18,12,11,7,13,8,17,11,9,15,12,11,8,13,13
12,9,11,14,13,17,11,7,7,13,14,16,10,8,15,13,12,9,12,13
13,10,9,14,10,15,13,10,7,12,14,16,8,8,15,14,11,10,13,14
14,13,9,14,13,18,12,8,6,13,12,20,9,8,13,13,14,10,14,16
13,10,9,15,13,16,12,7,6,12,13,19,8,7,14,12,13,10,14,14
13,10,10,15,14,18,14,8,9,13,14,17,10,9,12,13,13,11,14,16
12,11,10,15,12,17,13,7,8,14,15,19,8,7,14,11,14,9,13,14
13,11,9,14,11,17,13,7,8,12,14,19,9,7,14,12,15,11,14,15
13,11,8,12,14,17,14,7,6,14,14,19,8,8,16,14,11,10,16,14
13,9,10,14,10,17,12,7,8,13,15,18,10,9,15,14,12,12,15,14
12,10,11,15,15,18,13,8,7,13,14,19,8,9,15,12,14,9,14,16
13,11,8,12,12,18,13,8,9,15,13,20,7,10,14,12,12,10,16,14
12,11,9,14,13,16,17,8,7,14,13,19,10,8,15,13,11,9,14,17
10,9,11,15,11,17,13,8,8,12,13,16,11,8,13,12,13,10,13,16
12,9,12,14,12,18,13,8,8,13,17,20,9,10,15,12,13,13,14,14
14,9,10,13,13,18,15,11,7,16,16,18,8,8,15,11,11,9,16,15
13,10,9,14,11,17,14,7,7,13,14,20,11,8,15,14,13,10,15,17
12,10,9,14,11,17,13,8,8,13,14,18,10,12,16,11,13,9,15,17
12,10,10,14,12,18,14,8,8,16,14,21,10,8,15,9,12,9,14,15
13,11,8,10,15,17,14,7,10,15,12,18,10,7,15,12,11,9,15,15
12,10,11,14,10,16,13,8,8,13,13,20,9,9,16,12,11,9,16,14
11,10,10,12,14,17,13,9,7,14,14,19,9,8,16,11,13,11,14,14
13,10,11,13,13,18,13,8,7,15,11,19,9,10,15,12,12,10,13,15
12,12,9,13,13,17,15,9,8,14,14,20,8,9,16,12,14,8,15,16
12,9,9,12,13,18,13,7,7,12,15,19,9,8,16,13,13,13,17,14
11,9,10,14,12,17,12,7,6,13,13,20,10,11,15,12,12,10,15,16
11,10,10,13,15,18,15,9,9,15,14,18,10,10,14,11,11,10,15,15
12,9,10,12,12,19,13,6,6,14,11,20,8,9,16,11,13,9,15,16
12,11,10,13,12,17,12,9,7,14,13,19,7,8,15,11,12,10,16,13
13,10,9,12,15,16,16,9,7,16,12,20,10,7,15,12,12,8,16,14
11,11,9,14,14,18,13,8,9,15,11,18,10,10,12,11,11,9,15,15
12,11,11,15,12,16,13,10,9,14,12,18,8,8,14,13,13,9,16,15
